meter_id,contract_id,meter_type,voltage,status,location,latitude,longitude
541,109,single-phase,,active,Quảng Trị,16.7943,106.9634
546,110,single-phase,,active,Bình Dương,11.3254,106.477
551,111,single-phase,,active,Bình Thuận,11.0904,108.0721
556,112,single-phase,,active,Vĩnh Phúc,21.3609,105.5474
561,113,single-phase,,active,Hà Giang,22.8026,104.9784
566,114,single-phase,,active,Tiền Giang,10.4493,106.3421
571,115,single-phase,,active,Gia Lai,13.8079,108.1094
576,116,single-phase,,active,Bình Thuận,11.0904,108.0721
581,117,single-phase,,active,Hà Tĩnh,18.342,105.8923
586,118,single-phase,,active,Khánh Hòa,12.2585,109.0526
591,119,single-phase,,active,Bến Tre,10.2434,106.3756
596,120,single-phase,,active,Đắk Nông,12.2646,107.6098
601,121,single-phase,,active,Đồng Nai,11.0686,107.1676
606,122,single-phase,,active,Lào Cai,22.4809,103.9755
611,123,single-phase,,active,Hậu Giang,9.7579,105.6413
616,124,single-phase,,active,Đà Nẵng,16.0544,108.2022
621,125,single-phase,,active,Hà Giang,22.8026,104.9784
626,126,single-phase,,active,Sóc Trăng,9.6025,105.9739
631,127,single-phase,,active,Thái Nguyên,21.5672,105.8252
636,128,single-phase,,active,Phú Yên,13.0882,109.0929
641,129,single-phase,,active,Đắk Lắk,12.71,108.2378
646,130,single-phase,,active,Bình Phước,11.7512,106.7235
651,131,single-phase,,active,Đồng Nai,11.0686,107.1676
656,132,single-phase,,active,Lâm Đồng,11.5753,108.1429
661,133,single-phase,,active,Cao Bằng,22.6666,106.264
666,134,single-phase,,active,Nghệ An,19.2342,104.92
671,135,single-phase,,active,Quảng Bình,17.6103,106.3487
676,136,single-phase,,active,Phú Thọ,21.422,105.2297
681,137,single-phase,,active,Thừa Thiên Huế,16.4674,107.5905
686,138,single-phase,,active,Bắc Kạn,22.1443,105.8345
691,139,single-phase,,active,Đồng Tháp,10.4938,105.6882
696,140,single-phase,,active,Bình Dương,11.3254,106.477
701,141,single-phase,,active,Trà Vinh,9.9513,106.3346
706,142,single-phase,,active,Bà rịa Vũng Tàu,10.5417,107.243
711,143,single-phase,,active,Hải Dương,20.9373,106.3146
716,144,single-phase,,active,Lạng Sơn,21.8537,106.7615
721,145,single-phase,,active,Hải Phòng,20.8449,106.6881
726,146,single-phase,,active,Kon Tum,14.3497,108.0005
731,147,single-phase,,active,Lai Châu,22.3862,103.4703
736,148,single-phase,,active,Quảng Ninh,21.0064,107.2925
741,149,single-phase,,active,Sóc Trăng,9.6025,105.9739
746,150,single-phase,,active,Quảng Trị,16.7943,106.9634
751,151,single-phase,,active,Bắc Giang,21.282,106.1975
756,152,single-phase,,active,Sóc Trăng,9.6025,105.9739
761,153,single-phase,,active,Thừa Thiên Huế,16.4674,107.5905
766,154,single-phase,,active,Kiên Giang,9.825,105.1259
771,155,single-phase,,active,Quảng Nam,15.5394,108.0191
776,156,single-phase,,active,Quảng Bình,17.6103,106.3487
781,157,single-phase,,active,Nam Định,20.4388,106.1621
786,158,single-phase,,active,Sóc Trăng,9.6025,105.9739
791,159,single-phase,,active,Quảng Ngãi,15.1214,108.8044
796,160,single-phase,,active,Thừa Thiên Huế,16.4674,107.5905
801,161,single-phase,,active,Bình Dương,11.3254,106.477
806,162,single-phase,,active,Bến Tre,10.2434,106.3756
811,163,single-phase,,active,Lai Châu,22.3862,103.4703
816,164,single-phase,,active,Vĩnh Phúc,21.3609,105.5474
821,165,single-phase,,active,Cà Mau,9.1527,105.1961
826,166,single-phase,,active,Hà Giang,22.8026,104.9784
831,167,single-phase,,active,Trà Vinh,9.9513,106.3346
836,168,single-phase,,active,Hải Phòng,20.8449,106.6881
841,169,single-phase,,active,Hà Tĩnh,18.342,105.8923
846,170,single-phase,,active,Bình Thuận,11.0904,108.0721
851,171,single-phase,,active,Hà Nam,20.5835,105.923
856,172,single-phase,,active,Yên Bái,21.7168,104.8986
861,173,single-phase,,active,Đắk Nông,12.2646,107.6098
866,174,single-phase,,active,Thanh Hóa,19.8067,105.7852
871,175,single-phase,,active,Bến Tre,10.2434,106.3756
876,176,single-phase,,active,Bắc Ninh,21.1782,106.071
881,177,single-phase,,active,Điện Biên,21.4064,103.0322
886,178,single-phase,,active,Quảng Nam,15.5394,108.0191
891,179,single-phase,,active,Bắc Giang,21.282,106.1975
896,180,single-phase,,active,Bắc Ninh,21.1782,106.071
901,181,single-phase,,active,Lạng Sơn,21.8537,106.7615
906,182,single-phase,,active,Lai Châu,22.3862,103.4703
911,183,single-phase,,active,Phú Yên,13.0882,109.0929
916,184,single-phase,,active,Nghệ An,19.2342,104.92
921,185,single-phase,,active,Trà Vinh,9.9513,106.3346
926,186,single-phase,,active,TP. Hồ Chí Minh,10.8231,106.6297
931,187,single-phase,,active,Bình Dương,11.3254,106.477
936,188,single-phase,,active,Kon Tum,14.3497,108.0005
941,189,single-phase,,active,Quảng Ninh,21.0064,107.2925
946,190,single-phase,,active,Hậu Giang,9.7579,105.6413
951,191,single-phase,,active,Bắc Ninh,21.1782,106.071
956,192,single-phase,,active,Hà Nội,21.0278,105.8342
961,193,single-phase,,active,Hòa Bình,20.8275,105.3391
966,194,single-phase,,active,Quảng Ninh,21.0064,107.2925
971,195,single-phase,,active,Tiền Giang,10.4493,106.3421
976,196,single-phase,,active,Hà Giang,22.8026,104.9784
981,197,single-phase,,active,An Giang,10.5216,105.1259
986,198,single-phase,,active,TP. Hồ Chí Minh,10.8231,106.6297
991,199,single-phase,,active,Tiền Giang,10.4493,106.3421
996,200,single-phase,,active,Quảng Trị,16.7943,106.9634
1001,201,single-phase,,active,Sóc Trăng,9.6025,105.9739
1006,202,single-phase,,active,Ninh Thuận,11.6739,108.863
1011,203,single-phase,,active,Đồng Nai,11.0686,107.1676
1016,204,single-phase,,active,Sơn La,21.3269,103.9144
1021,205,single-phase,,active,Thái Nguyên,21.5672,105.8252
1026,206,single-phase,,active,Kiên Giang,9.825,105.1259
1031,207,single-phase,,active,Bến Tre,10.2434,106.3756
1036,208,single-phase,,active,Thái Bình,20.4463,106.3366
1041,209,single-phase,,active,Hòa Bình,20.8275,105.3391
1046,210,single-phase,,active,Hà Giang,22.8026,104.9784
1051,211,single-phase,,active,TP. Hồ Chí Minh,10.8231,106.6297
1056,212,single-phase,,active,Hải Phòng,20.8449,106.6881
1061,213,single-phase,,active,Cao Bằng,22.6666,106.264
1066,214,single-phase,,active,Lai Châu,22.3862,103.4703
1071,215,single-phase,,active,Hưng Yên,20.6547,106.0578
1076,216,single-phase,,active,Đồng Tháp,10.4938,105.6882
1081,217,single-phase,,active,Tây Ninh,11.3352,106.1099
1086,218,single-phase,,active,Long An,10.6956,106.2431
1091,219,single-phase,,active,Quảng Nam,15.5394,108.0191
1096,220,single-phase,,active,Lạng Sơn,21.8537,106.7615
1101,221,single-phase,,active,Hưng Yên,20.6547,106.0578
1106,222,single-phase,,active,Hà Nội,21.0278,105.8342
1111,223,single-phase,,active,Quảng Ninh,21.0064,107.2925
1116,224,single-phase,,active,Kon Tum,14.3497,108.0005
1121,225,single-phase,,active,Bà rịa Vũng Tàu,10.5417,107.243
1126,226,single-phase,,active,Bà rịa Vũng Tàu,10.5417,107.243
1131,227,single-phase,,active,Tiền Giang,10.4493,106.3421
1136,228,single-phase,,active,Cao Bằng,22.6666,106.264
1141,229,single-phase,,active,Hòa Bình,20.8275,105.3391
1146,230,single-phase,,active,Hòa Bình,20.8275,105.3391
1151,231,single-phase,,active,Gia Lai,13.8079,108.1094
1156,232,single-phase,,active,Bình Phước,11.7512,106.7235
1161,233,single-phase,,active,Vĩnh Phúc,21.3609,105.5474
1166,234,single-phase,,active,Quảng Ninh,21.0064,107.2925
1171,235,single-phase,,active,Thái Nguyên,21.5672,105.8252
1176,236,single-phase,,active,Bắc Kạn,22.1443,105.8345
1181,237,single-phase,,active,Quảng Ninh,21.0064,107.2925
1186,238,single-phase,,active,Đắk Lắk,12.71,108.2378
1191,239,single-phase,,active,Đắk Nông,12.2646,107.6098
1196,240,single-phase,,active,Hà Tĩnh,18.342,105.8923
1201,241,single-phase,,active,Vĩnh Long,10.2396,105.9572
1206,242,single-phase,,active,Hải Phòng,20.8449,106.6881
1211,243,single-phase,,active,Hậu Giang,9.7579,105.6413
1216,244,single-phase,,active,Đà Nẵng,16.0544,108.2022
1221,245,single-phase,,active,Hải Phòng,20.8449,106.6881
1226,246,single-phase,,active,Quảng Nam,15.5394,108.0191
1231,247,single-phase,,active,TP. Hồ Chí Minh,10.8231,106.6297
1236,248,single-phase,,active,Nam Định,20.4388,106.1621
1241,249,single-phase,,active,Sơn La,21.3269,103.9144
1246,250,single-phase,,active,Bắc Giang,21.282,106.1975
1251,251,single-phase,,active,Yên Bái,21.7168,104.8986
1256,252,single-phase,,active,Bến Tre,10.2434,106.3756
1261,253,single-phase,,active,Bến Tre,10.2434,106.3756
1266,254,single-phase,,active,Thái Nguyên,21.5672,105.8252
1271,255,single-phase,,active,Quảng Trị,16.7943,106.9634
1276,256,single-phase,,active,Nam Định,20.4388,106.1621
1281,257,single-phase,,active,TP. Hồ Chí Minh,10.8231,106.6297
1286,258,single-phase,,active,Bến Tre,10.2434,106.3756
1291,259,single-phase,,active,Tây Ninh,11.3352,106.1099
1296,260,single-phase,,active,Cao Bằng,22.6666,106.264
1301,261,single-phase,,active,Bình Dương,11.3254,106.477
1306,262,single-phase,,active,Sơn La,21.3269,103.9144
1311,263,single-phase,,active,Lào Cai,22.4809,103.9755
1316,264,single-phase,,active,Ninh Thuận,11.6739,108.863
1321,265,single-phase,,active,Lạng Sơn,21.8537,106.7615
1326,266,single-phase,,active,Sóc Trăng,9.6025,105.9739
1331,267,single-phase,,active,Lâm Đồng,11.5753,108.1429
1336,268,single-phase,,active,Phú Yên,13.0882,109.0929
1341,269,single-phase,,active,Bình Định,13.886,109.1077
1346,270,single-phase,,active,An Giang,10.5216,105.1259
1351,271,single-phase,,active,Bình Thuận,11.0904,108.0721
1356,272,single-phase,,active,Đồng Tháp,10.4938,105.6882
1361,273,single-phase,,active,Tuyên Quang,21.7767,105.228
1366,274,single-phase,,active,Quảng Trị,16.7943,106.9634
1371,275,single-phase,,active,Quảng Trị,16.7943,106.9634
1376,276,single-phase,,active,Đà Nẵng,16.0544,108.2022
1381,277,single-phase,,active,Tuyên Quang,21.7767,105.228
1386,278,single-phase,,active,Bình Phước,11.7512,106.7235
1391,279,single-phase,,active,Hải Phòng,20.8449,106.6881
1396,280,single-phase,,active,Yên Bái,21.7168,104.8986
1401,281,single-phase,,active,TP. Hồ Chí Minh,10.8231,106.6297
1406,282,single-phase,,active,Lạng Sơn,21.8537,106.7615
1411,283,single-phase,,active,Vĩnh Long,10.2396,105.9572
1416,284,single-phase,,active,Quảng Ngãi,15.1214,108.8044
1421,285,single-phase,,active,Lai Châu,22.3862,103.4703
1426,286,single-phase,,active,Hậu Giang,9.7579,105.6413
1431,287,single-phase,,active,Quảng Bình,17.6103,106.3487
1436,288,single-phase,,active,Đồng Nai,11.0686,107.1676
1441,289,single-phase,,active,Tuyên Quang,21.7767,105.228
1446,290,single-phase,,active,Bình Định,13.886,109.1077
1451,291,single-phase,,active,An Giang,10.5216,105.1259
1456,292,single-phase,,active,Hải Dương,20.9373,106.3146
1461,293,single-phase,,active,Bạc Liêu,9.294,105.7216
1466,294,single-phase,,active,Bình Thuận,11.0904,108.0721
1471,295,single-phase,,active,TP. Hồ Chí Minh,10.8231,106.6297
1476,296,single-phase,,active,Thái Nguyên,21.5672,105.8252
1481,297,single-phase,,active,Tây Ninh,11.3352,106.1099
1486,298,single-phase,,active,Thanh Hóa,19.8067,105.7852
1491,299,single-phase,,active,Hậu Giang,9.7579,105.6413
1496,300,single-phase,,active,Gia Lai,13.8079,108.1094
1501,301,single-phase,,active,Phú Yên,13.0882,109.0929
1506,302,single-phase,,active,Tây Ninh,11.3352,106.1099
1511,303,single-phase,,active,Sóc Trăng,9.6025,105.9739
1516,304,single-phase,,active,Gia Lai,13.8079,108.1094
1521,305,single-phase,,active,Tuyên Quang,21.7767,105.228
1526,306,single-phase,,active,Kiên Giang,9.825,105.1259
1531,307,single-phase,,active,Bà rịa Vũng Tàu,10.5417,107.243
1536,308,single-phase,,active,Bình Phước,11.7512,106.7235
1541,309,single-phase,,active,Bình Dương,11.3254,106.477
1546,310,single-phase,,active,Tây Ninh,11.3352,106.1099
1551,311,single-phase,,active,Hà Giang,22.8026,104.9784
1556,312,single-phase,,active,Bạc Liêu,9.294,105.7216
1561,313,single-phase,,active,Nam Định,20.4388,106.1621
1566,314,single-phase,,active,Long An,10.6956,106.2431
1571,315,single-phase,,active,Đồng Tháp,10.4938,105.6882
1576,316,single-phase,,active,Quảng Bình,17.6103,106.3487
1581,317,single-phase,,active,Ninh Thuận,11.6739,108.863
1586,318,single-phase,,active,Nam Định,20.4388,106.1621
1591,319,single-phase,,active,Lạng Sơn,21.8537,106.7615
1596,320,single-phase,,active,Quảng Trị,16.7943,106.9634
1601,321,single-phase,,active,Bến Tre,10.2434,106.3756
1606,322,single-phase,,active,Quảng Bình,17.6103,106.3487
1611,323,single-phase,,active,Ninh Thuận,11.6739,108.863
1616,324,single-phase,,active,Bắc Kạn,22.1443,105.8345
1621,325,single-phase,,active,Nghệ An,19.2342,104.92
1626,326,single-phase,,active,Bà rịa Vũng Tàu,10.5417,107.243
1631,327,single-phase,,active,Tiền Giang,10.4493,106.3421
1636,328,single-phase,,active,Bến Tre,10.2434,106.3756
1641,329,single-phase,,active,Vĩnh Long,10.2396,105.9572
1646,330,single-phase,,active,Sóc Trăng,9.6025,105.9739
1651,331,single-phase,,active,Kiên Giang,9.825,105.1259
1656,332,single-phase,,active,Đà Nẵng,16.0544,108.2022
1661,333,single-phase,,active,Vĩnh Long,10.2396,105.9572
1666,334,single-phase,,active,Thái Bình,20.4463,106.3366
1671,335,single-phase,,active,Hà Tĩnh,18.342,105.8923
1676,336,single-phase,,active,Thừa Thiên Huế,16.4674,107.5905
1681,337,single-phase,,active,Bắc Giang,21.282,106.1975
1686,338,single-phase,,active,Bình Thuận,11.0904,108.0721
1691,339,single-phase,,active,Tuyên Quang,21.7767,105.228
1696,340,single-phase,,active,Nghệ An,19.2342,104.92
1701,341,single-phase,,active,Thái Bình,20.4463,106.3366
1706,342,single-phase,,active,Hà Nam,20.5835,105.923
1711,343,single-phase,,active,Bắc Giang,21.282,106.1975
1716,344,single-phase,,active,Nghệ An,19.2342,104.92
1721,345,single-phase,,active,Kon Tum,14.3497,108.0005
1726,346,single-phase,,active,Sóc Trăng,9.6025,105.9739
1731,347,single-phase,,active,Sơn La,21.3269,103.9144
1736,348,single-phase,,active,Ninh Thuận,11.6739,108.863
1741,349,single-phase,,active,Cao Bằng,22.6666,106.264
1746,350,single-phase,,active,Lai Châu,22.3862,103.4703
1751,351,single-phase,,active,Tuyên Quang,21.7767,105.228
1756,352,single-phase,,active,Phú Thọ,21.422,105.2297
1761,353,single-phase,,active,Bắc Ninh,21.1782,106.071
1766,354,single-phase,,active,Quảng Trị,16.7943,106.9634
1771,355,single-phase,,active,An Giang,10.5216,105.1259
1776,356,single-phase,,active,Ninh Thuận,11.6739,108.863
1781,357,single-phase,,active,Đắk Nông,12.2646,107.6098
1786,358,single-phase,,active,Bạc Liêu,9.294,105.7216
1791,359,single-phase,,active,Lai Châu,22.3862,103.4703
1796,360,single-phase,,active,Quảng Ninh,21.0064,107.2925
1801,361,single-phase,,active,Đồng Nai,11.0686,107.1676
1806,362,single-phase,,active,Cần Thơ,10.0452,105.7469
1811,363,single-phase,,active,Nghệ An,19.2342,104.92
1816,364,single-phase,,active,Thanh Hóa,19.8067,105.7852
1821,365,single-phase,,active,Phú Yên,13.0882,109.0929
1826,366,single-phase,,active,Ninh Bình,20.2506,105.9745
1831,367,single-phase,,active,Ninh Bình,20.2506,105.9745
1836,368,single-phase,,active,Quảng Ngãi,15.1214,108.8044
1841,369,single-phase,,active,Bến Tre,10.2434,106.3756
1846,370,single-phase,,active,Vĩnh Phúc,21.3609,105.5474
1851,371,single-phase,,active,Gia Lai,13.8079,108.1094
1856,372,single-phase,,active,Phú Yên,13.0882,109.0929
1861,373,single-phase,,active,Ninh Thuận,11.6739,108.863
1866,374,single-phase,,active,Đắk Lắk,12.71,108.2378
1871,375,single-phase,,active,Hải Phòng,20.8449,106.6881
1876,376,single-phase,,active,Vĩnh Long,10.2396,105.9572
1881,377,single-phase,,active,Khánh Hòa,12.2585,109.0526
1886,378,single-phase,,active,Nghệ An,19.2342,104.92
1891,379,single-phase,,active,TP. Hồ Chí Minh,10.8231,106.6297
1896,380,single-phase,,active,Yên Bái,21.7168,104.8986
1901,381,single-phase,,active,Quảng Ninh,21.0064,107.2925
1906,382,single-phase,,active,Gia Lai,13.8079,108.1094
1911,383,single-phase,,active,Yên Bái,21.7168,104.8986
1916,384,single-phase,,active,Bà rịa Vũng Tàu,10.5417,107.243
1921,385,single-phase,,active,Lạng Sơn,21.8537,106.7615
1926,386,single-phase,,active,Cà Mau,9.1527,105.1961
1931,387,single-phase,,active,Lạng Sơn,21.8537,106.7615
1936,388,single-phase,,active,Lào Cai,22.4809,103.9755
1941,389,single-phase,,active,Ninh Thuận,11.6739,108.863
1946,390,single-phase,,active,Kon Tum,14.3497,108.0005
1951,391,single-phase,,active,Bạc Liêu,9.294,105.7216
1956,392,single-phase,,active,Kiên Giang,9.825,105.1259
1961,393,single-phase,,active,Bình Thuận,11.0904,108.0721
1966,394,single-phase,,active,Bình Định,13.886,109.1077
1971,395,single-phase,,active,Thái Nguyên,21.5672,105.8252
1976,396,single-phase,,active,Quảng Ninh,21.0064,107.2925
1981,397,single-phase,,active,Bắc Ninh,21.1782,106.071
1986,398,single-phase,,active,Kiên Giang,9.825,105.1259
1991,399,single-phase,,active,Lâm Đồng,11.5753,108.1429
1996,400,single-phase,,active,Thừa Thiên Huế,16.4674,107.5905
2001,401,single-phase,,active,Hòa Bình,20.8275,105.3391
2006,402,single-phase,,active,Bà rịa Vũng Tàu,10.5417,107.243
2011,403,single-phase,,active,Phú Yên,13.0882,109.0929
2016,404,single-phase,,active,Bình Dương,11.3254,106.477
2021,405,single-phase,,active,Đồng Nai,11.0686,107.1676
2026,406,single-phase,,active,Bình Định,13.886,109.1077
2031,407,single-phase,,active,Cao Bằng,22.6666,106.264
2036,408,single-phase,,active,Phú Thọ,21.422,105.2297
2041,409,single-phase,,active,Long An,10.6956,106.2431
2046,410,single-phase,,active,Hà Tĩnh,18.342,105.8923
2051,411,single-phase,,active,Bình Dương,11.3254,106.477
2056,412,single-phase,,active,Thanh Hóa,19.8067,105.7852
2061,413,single-phase,,active,Bình Dương,11.3254,106.477
2066,414,single-phase,,active,Bình Phước,11.7512,106.7235
2071,415,single-phase,,active,Nghệ An,19.2342,104.92
2076,416,single-phase,,active,Hưng Yên,20.6547,106.0578
2081,417,single-phase,,active,Vĩnh Phúc,21.3609,105.5474
2086,418,single-phase,,active,Thanh Hóa,19.8067,105.7852
2091,419,single-phase,,active,Gia Lai,13.8079,108.1094
2096,420,single-phase,,active,Quảng Trị,16.7943,106.9634
2101,421,single-phase,,active,Vĩnh Phúc,21.3609,105.5474
2106,422,single-phase,,active,Kon Tum,14.3497,108.0005
2111,423,single-phase,,active,Bắc Kạn,22.1443,105.8345
2116,424,single-phase,,active,Phú Yên,13.0882,109.0929
2121,425,single-phase,,active,Sơn La,21.3269,103.9144
2126,426,single-phase,,active,Đà Nẵng,16.0544,108.2022
2131,427,single-phase,,active,Bình Thuận,11.0904,108.0721
2136,428,single-phase,,active,Bình Định,13.886,109.1077
2141,429,single-phase,,active,Cà Mau,9.1527,105.1961
2146,430,single-phase,,active,Đồng Nai,11.0686,107.1676
2151,431,single-phase,,active,Quảng Trị,16.7943,106.9634
2156,432,single-phase,,active,Quảng Ninh,21.0064,107.2925
2161,433,single-phase,,active,Vĩnh Phúc,21.3609,105.5474
2166,434,single-phase,,active,Kon Tum,14.3497,108.0005
2171,435,single-phase,,active,Gia Lai,13.8079,108.1094
2176,436,single-phase,,active,Bình Phước,11.7512,106.7235
2181,437,single-phase,,active,Hậu Giang,9.7579,105.6413
2186,438,single-phase,,active,Thừa Thiên Huế,16.4674,107.5905
2191,439,single-phase,,active,Cao Bằng,22.6666,106.264
2196,440,single-phase,,active,Phú Thọ,21.422,105.2297
2201,441,single-phase,,active,Ninh Bình,20.2506,105.9745
2206,442,single-phase,,active,Hậu Giang,9.7579,105.6413
2211,443,single-phase,,active,Nghệ An,19.2342,104.92
2216,444,single-phase,,active,Quảng Nam,15.5394,108.0191
2221,445,single-phase,,active,Lào Cai,22.4809,103.9755
2226,446,single-phase,,active,Bến Tre,10.2434,106.3756
2231,447,single-phase,,active,Cà Mau,9.1527,105.1961
2236,448,single-phase,,active,Bình Dương,11.3254,106.477
2241,449,single-phase,,active,Hà Giang,22.8026,104.9784
2246,450,single-phase,,active,Lào Cai,22.4809,103.9755
2251,451,single-phase,,active,Bà rịa Vũng Tàu,10.5417,107.243
2256,452,single-phase,,active,Long An,10.6956,106.2431
2261,453,single-phase,,active,Vĩnh Phúc,21.3609,105.5474
2266,454,single-phase,,active,Lạng Sơn,21.8537,106.7615
2271,455,single-phase,,active,Hà Giang,22.8026,104.9784
2276,456,single-phase,,active,Bến Tre,10.2434,106.3756
